"","ktitle","title","replyNo","Tdate","Tauthor","author","authorclass","date","rPostNo","authorcredit","text"
"1",1001,"關於俄式挺身 (12/11更新)","9","2015-07-21 09:23","user and pwd","user and pwd","資深會員","2015-07-21 09:23","#1","11","去年偶然間觀看了國外street workout相關影片，從而了解到俄式挺身這個動作
這段時間看了很多文章、資料、影片，各種相關的資源，了解這動作的由來、訓練方式
、細節、難度及其變化。
因為自己本身也有在練習，加上曾經遇到一些疑惑、問題及挫折
所以整理去年至今的心得分享給有興趣、不知如何開始、如何訓練以及碰到問題的人
純屬自己的整理和本身經驗及見解，之後會再陸續新增及更新關於俄式挺身關於俄式挺身的手掌擺放位置Planche Lean (俄挺衝肩訓練)Tuck Planche
"
"2",1001,"關於俄式挺身 (12/11更新)","9","2015-07-21 09:23","user and pwd","Sam爺","資深會員","2015-07-21 09:59","#2","9","有意思的文章中文教學
user and pwd wrote:
去年偶然間觀看了國...(恕刪)
"
"3",1001,"關於俄式挺身 (12/11更新)","9","2015-07-21 09:23","user and pwd","user and pwd","資深會員","2015-07-21 10:16","#3","11","

Sam爺 wrote:
有意思的文章中文教學

謝謝，這我看過了，我發文只是整理並分享我的經驗和心得，影片是說明他的訓練方式，而這些訓練方式在youtube 搜尋planche tutorial就會有一堆大同小異的教學影片了"
"4",1001,"關於俄式挺身 (12/11更新)","9","2015-07-21 09:23","user and pwd","Sam爺","資深會員","2015-07-23 10:33","#4","9","好用心的教學
練習了一下  發現 太胖的人沒有成功的可能性"
"5",1001,"關於俄式挺身 (12/11更新)","9","2015-07-21 09:23","user and pwd","user and pwd","資深會員","2015-07-23 12:26","#5","11","

Sam爺 wrote:
好用心的教學練習了一...(恕刪)

謝謝，因為一直以來我都是一個人摸索體會和練習，當遇到疑惑、挫折時只能透過查資料和持續練習來自我調適，所以想分享給有興趣的人
網路上很多教學影片都是展示tuck planche到full planche的過程及相關力量訓練，關於許多細節或疑惑則是沒有說明
另外你說的體重問題，的確太重很難練，但也不是不可能，國外就有一些練成的人，所以沒有可不可能，只有做與不做，而且以這動作當為目標來瘦身也不錯
我177cm/73kg"
"6",1001,"關於俄式挺身 (12/11更新)","9","2015-07-21 09:23","user and pwd","user and pwd","資深會員","2015-08-16 06:53","#6","11","

user and pwd wrote:
去年偶然間觀看了國外...(恕刪)
Flat Tuck Planche
"
"7",1001,"關於俄式挺身 (12/11更新)","9","2015-07-21 09:23","user and pwd","user and pwd","資深會員","2015-12-08 10:39","#7","11","

user and pwd wrote:
去年偶然間觀看了國外...(恕刪)

終於來到這一步了...One leg planche
"
"8",1001,"關於俄式挺身 (12/11更新)","9","2015-07-21 09:23","user and pwd","searing_eye","高級會員","2015-12-08 12:07","#8","32","喔喔 拍拍手 好認真
我一開始也有跟著練練看
不過後來每次學到新東西新玩法就跑去練新的了
加油喔 等你貼完成的影片
或許我也該每天固定分一點時間給他"
"9",1001,"關於俄式挺身 (12/11更新)","9","2015-07-21 09:23","user and pwd","user and pwd","資深會員","2015-12-08 21:09","#9","11","

searing_eye wrote:
喔喔 拍拍手 好認真...(恕刪)

我其它也有在練，但主要是俄艇為主，比重大概是俄挺90%，front lever,flag,muscle up為10%吧
因為我的目標是俄挺
一起加油堅持"
"10",1001,"關於俄式挺身 (12/11更新)","9","2015-07-21 09:23","user and pwd","user and pwd","資深會員","2015-12-11 17:11","#10","11","

user and pwd wrote:
去年偶然間觀看了國外...(恕刪)

我練planche的相關力量訓練內容，分享給正在練或不知如何練的人參考
至於內容的變化及項目的增加就依照自己能力、習慣及喜好去斟酌調整My planche training
"
"11",1002,"選購運動器材-飛輪車VS登山機","3","2015-11-20 19:11","IDIDA","IDIDA","一般會員","2015-11-20 19:11","#1","6","因為工作下班都蠻晚了，時間不允許就只好在家做運動
之前有買過跑步機，用了一段時間後覺得強度不夠，而且用起來有點吵
跑步機要達到運動效果花的時間有點久，
想要加強腿部及臀部肌肉力量的訓練，想知道有沒有其他推薦的運動器材
有在考慮要買飛輪車還是登山機好呢?"
"12",1002,"選購運動器材-飛輪車VS登山機","3","2015-11-20 19:11","IDIDA","Sharrock","新進會員","2015-11-23 14:50","#2","2","我自己是比較偏好登山機，主要是鍛鍊臀大肌和小腿肌
登山機的強度可以隨你調整，滿適合在家裡運動，可以少少花時間得到不錯鍛煉效果
你可以自己身體狀況和興趣愛好來選擇喜歡的器材
運動還是長久下去才是最重要的"
"13",1002,"選購運動器材-飛輪車VS登山機","3","2015-11-20 19:11","IDIDA","kakabu","訪客","2015-12-07 12:07","#3","停權中","

最好去健身房，可以多做阻力訓練 腿應該是會變緊實
飛輪車也是訓練大腿肌肉的好運動...強弱還可以調整"
"14",1002,"選購運動器材-飛輪車VS登山機","3","2015-11-20 19:11","IDIDA","ponnyCC","訪客","2015-12-09 21:59","#4","停權中","前幾天有看到這篇http://www.mobile01.com/topicdetail.php?f=628&t=4628619
介紹的很詳細
也有橢圓機和滑步機的比較可以參考看看"
"15",1003,"減脂肪（傷眼 12/9更新","8","2015-06-01 19:21","even阿文","even阿文","新進會員","2015-06-01 19:21","#1","56053062","小弟我目前 身高168 體重67 基礎代謝1587
目前菜單
早餐：一杯450cc無糖豆漿+全麥鮪魚蛋吐司/五穀饅頭
中餐：因為是學生所以都吃營養午餐 精緻澱粉會少吃大約800卡
晚餐：450cc無糖豆漿+御飯糰
不知道這樣的搭配可不可以減脂肪如果沒辦法請鞭打感恩
這次是第二次減肥 以前不懂 都節食 從74-57結果一堆問題也復胖
現在假日都會去健身房一天上半身一天下半身 先重訓在有氧 平常會自主訓練
每天都喝5000的水量
從77到現在的67想以減脂肪為目標 想詢問一下小弟我現在的體脂肪目測大約多少 重訓到現在只有3個月左右 一開始的體脂肪約24%
---------------------------------------------------
現在重訓也來到了9個月 也有買器材在平日排訓練
說來慚愧 途中車禍肩膀稍微裂開所以訓練集中在下半身 
後來好了才開始在上半身費點心思
在這段期間一直改良自己的飲食
身高168 體重:66 基礎代謝:1642 體脂肪15.9%(24-x7量的
早餐:450cc無糖豆漿 全麥鮪魚蛋吐司不加美乃滋 
中餐:營養午餐 飯少 菜多
晚餐:塘心蛋三明治 牛奶 (中午餐都有青菜就不打了
一天水量2000-4000
每天有氧30分鐘跳繩 大約2000下左右
禮拜1:背
禮拜2:三頭
禮拜3:二頭
禮拜4:肩膀(斜方 三角)
禮拜5:看哪個部位不酸痛就追加
禮拜6都上健身房做全部下半身
禮拜日休息
因為只是高三生還要忙學測 主要還是在讀書
現在整個人從體脂肪約24-25%到現在15.9%(不準也沒關係
上半身從XL到現在的xs或者s
下半身從XL緊到現在的m(還在努力練屁股減脂肪
如果有什麼建議可以告知我謝謝 畢竟還算新手一枚"
"16",1003,"減脂肪（傷眼 12/9更新","8","2015-06-01 19:21","even阿文","迷鹿爺","進階會員","2015-06-01 21:20","#2","5","

even阿文 wrote:
小弟我目前 身高168...(恕刪)

你身高跟我差不多，但我這5個月「減重」到64左右。
體脂大概18左右。
以我這些日子天天量的目測，我覺得你大概20~24%吧。
因為照片裡，你腰那一圈還有點大。
加油吧~"
