"","ktitle","title","replyNo","Tdate","Tauthor","author","authorclass","date","rPostNo","authorcredit","text"
"1",1501,"3天胖兩公斤~~這是啥巫術","16","2015-04-28 15:01","聶小胖","聶小胖","新進會員","2015-04-28 15:01","#1","55562045","各位好
這是我第一次發文章
我本身也是個胖子，最胖有到108公斤，後來靠跑步+飲食瘦到73公斤
之後發現我瘦下來肉都是軟的 就開始上健身房
我從去年開始上健身房的，到現在還是保持天天運動，不是去重訓就是去跑步
且每天也都會量體重
至從上健身房後體重就開始上升，雖然是有長肌肉，但是脂肪也是跟著上升，過完年就肥回78公斤
我自從上健身房後，飲食沒有刻意去控制(跟當初瘦到73相比)，過個年後就肥到78害我嚇到
最近就開始早上吃地瓜2條   1條7點吃 另1條10點在吃
中午我就吃家裡帶的便當 飯只有半碗
晚上則是吃家裡煮的菜和湯 不吃飯
上禮拜四我量體重是78.7  禮拜五是78.9
結果過完愉快的周末後 (周末過比較放鬆 就沒量體重)
禮拜一量 79.8  今天量80.1
我量體重時間都是固定 剛起床 上完廁所 然後直接量
為什麼1公斤7700卡 我可以周末肥2公斤
先說我這五六日吃些啥
禮拜五 早上:地瓜   中午: 家裡便當  晚上: 三媽臭臭鍋
禮拜六 早上:小籠包3科 1份蛋餅 1分韭菜盒子  中午: 兩塊肯德基炸雞  晚上: 牛肉燴飯
禮拜日 早上:水煎包*3   中午: 鴨肉湯麵   晚上: 家裡的菜與湯
我承認我六日吃的有點囂張  不過也不至於體重會這樣吧
我發現天天運動後  飲食稍微不控制 馬上會爆肥
以前沒運動  吃更多也不會上升的這麼誇張
我真的覺得我是不是身體有病阿"
"2",1501,"3天胖兩公斤~~這是啥巫術","16","2015-04-28 15:01","聶小胖","CP03","訪客","2015-04-28 15:26","#2","停權中","兩塊肯德基用最大的雞胸肉也才 640 卡,
給我吃還吃不飽呢......."
"3",1501,"3天胖兩公斤~~這是啥巫術","16","2015-04-28 15:01","聶小胖","acloth521069","進階會員","2015-04-28 15:43","#3","8","因為你方法用錯了啊..
你該做的不是每天量體重..
而是每天照鏡子..
不要太拘於體重上面..看看鏡子前是怎樣吧"
"4",1501,"3天胖兩公斤~~這是啥巫術","16","2015-04-28 15:01","聶小胖","Rodis Remix","資深會員","2015-04-28 15:46","#4","27","應該是""調味料""的關係，身體水分多儲存了一點
我吃建宏牛肉麵(大碗)，隔天至少重1kg
因為肉、麵、湯都有鹹
當然該餐份量也比平常多"
"5",1501,"3天胖兩公斤~~這是啥巫術","16","2015-04-28 15:01","聶小胖","inn5086","高級會員","2015-04-28 15:48","#5","20","建議你量體脂
看體重不準
如果上健身房有練重訓
有可能是肌肉開始生長
才導致你變重"
"6",1501,"3天胖兩公斤~~這是啥巫術","16","2015-04-28 15:01","聶小胖","阿咕咕","高級會員","2015-04-28 16:03","#6","15","我運動前的體重是75公斤，現在如果假日沒事幹或下班沒事情做就去跑步或游泳，飲食一樣正常吃現在體重有80...
之前有同事出國出差現在同事回來了，都說我怎麼瘦了而且線條比較好看~~~所以體重不準~"
"7",1501,"3天胖兩公斤~~這是啥巫術","16","2015-04-28 15:01","聶小胖","聶小胖","新進會員","2015-04-28 17:20","#7","55564302","我每次變胖 都真的是變肥
之前從74到78  也有量健身房的機器
基本上肌肉只上升1公斤  剩下都脂肪
而且身上肥肉感覺有比較多 朋友也說臉有圓回來"
"8",1501,"3天胖兩公斤~~這是啥巫術","16","2015-04-28 15:01","聶小胖","hsu4886","資深會員","2015-04-28 21:19","#8","584","

聶小胖 wrote:
各位好這是我第一次...(恕刪)

先不管有沒有長肌肉
這種體重一下子差很多的一定是水分或肚內食物或宿便的問題
可能前一次量時很少
後來量又稍多
來回就差很多了
加上你週末吃比較多"
"9",1501,"3天胖兩公斤~~這是啥巫術","16","2015-04-28 15:01","聶小胖","pariah.T","資深會員","2015-04-28 21:31","#9","210","你寫那麼多 做什麼 吃什麼的其實沒有用
你又不是女人整天照鏡子 量體重的是幹什麼
體重這種東西 早上量晚上量
都不一樣了  兩三天的數值根本也不能做參考"
"10",1501,"3天胖兩公斤~~這是啥巫術","16","2015-04-28 15:01","聶小胖","gp921201","高級會員","2015-04-29 08:49","#10","11","很常見的問題，一開始認真瘦的話是瘦很快，很爽
後來身體機能會依以飲食作息自己調適，索以減肥效果越來越小
吃得少，就代謝的慢，吸收的完全
節食一個月，吃一次把廢，就全部吃回來
最終體重只會在那邊一直上上下下"
